Issue Key,Summary,Reporter,Assignee,Status,Created,Updated,Fixed By,Description,Issue Type
BE-19874,Call 742732 - Integrated - 14Apr2025 Orders not synced,Yashwanth Kumar R,Yashwanth Kumar R,System Config Change,2025-04-15T11:10:51.047+0530,2025-04-15T14:59:36.984+0530,Morphous,"LoB - Integrated  Issue Description - 14Apr2025 orders were not synced completely. The order count differences are coming.  Ex CEE IDs: 732524, 646782  [https://admin.bbsarathi.com/app/integrated-rate-card/IBBN-RC-013187|https://admin.bbsarathi.com/app/integrated-rate-card/IBBN-RC-013187] no orders are showing in the payout for this store.  Meta is also not working up to the mark; sometimes it takes more time to give data and shows errors.",Bug
BE-19670,LMD store values are not getting over ridden for User type,Manjunath B,Manjunath B,Accepted,2025-04-08T17:44:14.449+0530,2025-04-23T12:44:50.719+0530,Falcons,Steps:  * If max hrs in 8 hrs in LMD store level and 5 hrs in user type level * Try to book a 7 hrs gig  Actual:  * Gig is not getting booked  Expectation:  * Gig should get booked as LMD store has 8 hrs as max hrs,Transient Bug
BE-19669,Able to delete Gig after the Gig end time,Manjunath B,Pratik Kumar,Accepted,2025-04-08T17:41:11.031+0530,2025-04-12T16:24:21.701+0530,Falcons,Steps:  * Book a gig  * Let the gig expire * Try to delete the gig  Actual:  * Gig is getting deleted  Expectation:   * Gig should not be able to delete,Transient Bug
BE-19656,Able to upload prescription images without passing upload_type_slug as prescription_photo_upload,sai archana,sai archana,Accepted,2025-04-08T16:43:59.475+0530,2025-04-10T15:26:39.223+0530,Supernovas,Problem: Able to upload prescription images without passing upload_type_slug as prescription_photo_upload  Steps to reproduce:  # Hit the provided curl and check the response and 1mg bucket in aws.  Expected: Upload should not go through and message asking for missing upload_type_slug should be thrown.  Actual: Upload goes through and image is seen in 1mg bucket. Screenshot of bucket is attached.,Transient Bug
BE-19655,Sku is not coming to handover after PRN initiation in qa,Kavya SG,Kavya SG,Accepted,2025-04-08T16:35:04.627+0530,2025-04-15T15:53:17.186+0530,Uplifters,"After PRN initiation , sku is not coming for Handover supplier_return_id: 1118 X-project: bb-wms",Transient Bug
BE-19654,Call 739934 - Unable to raise PO,Rehan Ansari,Rehan Ansari,Cancelled,2025-04-08T16:23:24.800+0530,2025-04-08T20:46:31.691+0530,Supernovas,"# MyMCS                       : 739934  # Issue Reported Date   : 08-Apr-25  # Location                      : Bhubaneswar  # Issue Reported by and Dep : B2B  # Issue severity              : S3  # Issue type                  : Complaint  # Location Impacted      : Bhubaneswar  # Issue Reported           :   # L1 Analysis                 :   we are not able to raise PO with the articles below but FC slug already updated for those articles.     FC: Bhubaneshwar Business (1272)    Suppliers details:-  ID:1645361  Name:EASY FOODS-BNW-DCW  Slug:easy-foods-bnw-dcw    SKU Description Weight  413940 Fried Peanut 1 kg  800442271 Sun Dried - Cranberries 1 kg  40152168 Dry Dates Yellow 1 kg  20001386 Cherries - Dried and pitted 1 kg    !image+(90) (2).png|width=1366,height=768,alt=""""image+(90) (2).png""""!",Bug
BE-19651,Call 740039 - Delivery charges visibility discrepancy in bbSaathi for Tobacco,Rehan Ansari,Shashank Kumar Singh,Cannot Reproduce,2025-04-08T16:01:53.351+0530,2025-04-12T18:05:49.818+0530,Django UnChainers,"# MyMCS                       : 740039  # Issue Reported Date   : 08-Apr-25  # Location                      : PAN INDIA  # Issue Reported by and Dep : B2B  # Issue severity              : S3  # Issue type                  : Complaint  # Location Impacted      : PAN INDIA  # Issue Reported           :   # L1 Analysis                 :     While placing orders via bbSaathi app  - paan corner banner, checkout is happening, but for small value orders delivery charge applicable is shown, which is waived off automatically on the second screen.    Mobile no :- 8800458049",Bug
BE-19649,wio - total cost price is coming more than 4 decimal places,Shashikant Awasthi,Shashikant Awasthi,Accepted,2025-04-08T15:51:12.116+0530,2025-04-10T14:42:50.889+0530,Uplifters,"{noformat}URL: https://qas12.bigbasket.com/warehousecomposition/admin/warehouseinboundoutbound/v1/supplier-return/1084/details Method: GET Protocol: h2 Status: Complete Response: 200 SSL: Yes Request time: Tue Apr 08 15:44:00 GMT+05:30 2025 Response time: Tue Apr 08 15:44:00 GMT+05:30 2025 Duration: 299 ms Request size: 0 B Response size: 986 B Total size: 986 B ---------- Request ---------- X-Caller: IQ-APP X-TimeStamp: 2025-04-08T15:44:00.573Z X-ACCESSTOKEN: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IlQ0ZUhTeWNKOEs2bnBBIiwidGltZSI6IjE3NDQxMDIyMDYiLCJ1aWQiOjIwMDM0NzM5fQ.XxItTSEDHBYyNpE3fbKO5IN0bZCQh_c54nBy2iUojXE X-Tracker: d4fb05de-bf7b-4212-aa13-870f6cfbc88f X-Device: 3.1.17_29eb2bdedaf9f247 X-Request-Identifier: 29eb2bdedaf9f247_20034739_2025-04-08T15:44:00.573Z Cookie: 1.BBADMINAUTHTOKEN=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IlQ0ZUhTeWNKOEs2bnBBIiwidGltZSI6IjE3NDQxMDIyMDYiLCJ1aWQiOjIwMDM0NzM5fQ.XxItTSEDHBYyNpE3fbKO5IN0bZCQh_c54nBy2iUojXE X-Tenant-Id: 1 X-Project: bb-wms (body is empty) ---------- Response ---------- date: Tue, 08 Apr 2025 10:13:59 GMT content-type: application/json content-security-policy: server: nginx set-cookie: csurftoken=RlBZxQ.1744107239721.m2AtATBFbWVW2d2YBLS8QmMD0s3l6+u0y4DBeEAp2WM=; Max-Age=1800; Expires=Tue, 08 Apr 2025 10:43:59 GMT; Path=/; Domain=.bigbasket.com; Secure set-cookie: tenant-id=1; Max-Age=31536000; Expires=Wed, 08 Apr 2026 10:13:59 GMT; Path=/; Domain=.bigbasket.com; Secure vary: Accept-Encoding x-content-type-options: nosniff x-frame-options: SAMEORIGIN {   """"supplier_return_id"""": 1084,   """"supplier_id"""": 213792,   """"supplier_name"""": """"iD Fresho - Chennai"""",   """"reviewed_by"""": 0,   """"created_at"""": """"2025-03-19 10:50:52"""",   """"sku_count"""": 1,   """"status"""": """"APPROVED"""",   """"sku_qty"""": 7,   """"total_cost"""": 603.0500000000001,   """"total_mrp"""": 875,   """"rejection_reason_id"""": 0,   """"rejection_reason"""": """""""",   """"fc_id"""": 780,   """"fc_name"""": """"DS-BNRAI-Shyam Nagar"""",   """"reference_id_for_initiation"""": 1020,   """"supplier_return_items"""": [     {       """"supplier_return_item_id"""": 1242,       """"sku_id"""": 103553,       """"sku_description"""": """"Gala Chandra Kharatabroom 1 pc """",       """"has_variable_weight"""": 1,       """"ean_codes"""": [         """"8901663209156"""",         """"103553""""       ],       """"status"""": """"ITEM_STOCK_MOVEMENT_DONE"""",       """"remark"""": """""""",       """"cp"""": 86.15,       """"mrp"""": 125,       """"total_cp"""": 603.0500000000001,       """"total_mrp"""": 875,       """"return_qty"""": 7,       """"return_reason_id"""": 70,       """"return_reason"""": """"Test Reason again"""",       """"handover_qty"""": 0,       """"underhandover_reason_id"""": 0,       """"underhandover_reason"""": """""""",       """"bin_location"""": """"A-17-E-1"""",       """"location_id"""": 1,       """"bin_id"""": """"1128468"""",       """"additional_attributes"""": {         """"fields"""": null,         """"instance_key"""": """""""",         """"instance_level_key_field"""": """""""",         """"instance_level_key_groups"""": null       }     }   ] }{noformat}  !image-20250408-102235.png|width=1080,height=2400,alt=""""image-20250408-102235.png""""!",Transient Bug
BE-19648,wio - unable to complete prn handover ,Shashikant Awasthi,Shashikant Awasthi,Accepted,2025-04-08T15:49:58.656+0530,2025-04-09T14:49:38.300+0530,Uplifters,"{noformat}URL: https://qas12.bigbasket.com/hermes/admin/job-manager/v1/fc/780/jobs/4000049367/tasks/create Method: POST Protocol: h2 Status: Complete Response: 500  SSL: Yes  Request time: Tue Apr 08 15:35:19 GMT+05:30 2025 Response time: Tue Apr 08 15:35:19 GMT+05:30 2025 Duration: 432 ms  Request size: 391 B Response size: 221 B Total size: 612 B  ---------- Request ----------  X-Resource-Type: tasktype:sr_item_handover_create X-Caller: IQ-APP X-TimeStamp: 2025-04-08T15:35:19.002Z X-ACCESSTOKEN: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IlQ0ZUhTeWNKOEs2bnBBIiwidGltZSI6IjE3NDQxMDIyMDYiLCJ1aWQiOjIwMDM0NzM5fQ.XxItTSEDHBYyNpE3fbKO5IN0bZCQh_c54nBy2iUojXE X-Tracker: 202120d3-9bb4-49b1-83d3-926ad0297548 X-Device: 3.1.17_29eb2bdedaf9f247 X-Request-Identifier: 29eb2bdedaf9f247_20034739_2025-04-08T15:35:19.002Z Cookie: 1.BBADMINAUTHTOKEN=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6IlQ0ZUhTeWNKOEs2bnBBIiwidGltZSI6IjE3NDQxMDIyMDYiLCJ1aWQiOjIwMDM0NzM5fQ.XxItTSEDHBYyNpE3fbKO5IN0bZCQh_c54nBy2iUojXE X-Tenant-Id: 1 X-Project: bb-wms  {   """"elapsed_time"""": 91,   """"request_identifier"""": """"29eb2bdedaf9f247_20034739_2025-04-08T15:35:17.819Z"""",   """"request_payload"""": {     """"additional_instance_attributes"""": [],     """"quantity_handed_over"""": 5.0,     """"supplier_return_id"""": 1096,     """"supplier_return_item_id"""": 1254,     """"underhandover_reason"""": """"Stock not found to Move"""",     """"underhandover_reason_id"""": 65   },   """"status"""": """"completed"""",   """"task_type"""": """"SR_ITEM_HANDOVER_CREATE"""",   """"user_id"""": """"20034739"""" }  ---------- Response ----------  date: Tue, 08 Apr 2025 10:05:18 GMT content-type: application/json content-length: 221 content-security-policy:  server: nginx set-cookie: tenant-id=1; Max-Age=31536000; Expires=Wed, 08 Apr 2026 10:05:18 GMT; Path=/; Domain=.bigbasket.com; Secure  {   """"errors"""": [     {       """"code"""": 1000,       """"code_str"""": """"WI1000"""",       """"display_msg"""": """"Return Location requested qty 5.0000 and available Qty -116"""",       """"type"""": """"INTERNAL_SERVER_ERROR"""",       """"msg"""": """"Return Location requested qty 5.0000 and available Qty -116""""     }   ] }{noformat}",Transient Bug
BE-19647,Shift is coming empty in history screen and gigs data we have approved or reject,Rahul Kumar Singh,Rahul Kumar Singh,Accepted,2025-04-08T15:18:54.032+0530,2025-04-14T19:13:15.100+0530,Falcons,"Shift is coming empty in history screen and gigs data we have approved or reject  {noformat}{     """"shifts"""": [] }{noformat}",Transient Bug
BE-19646,Prescription image upload api works even if no image is uplaoded.,sai archana,sai archana,Accepted,2025-04-08T15:17:27.274+0530,2025-04-11T16:01:22.526+0530,Supernovas,"Problem: Prescription image upload api works even if no image is uplaoded.  Steps to reproduce:  # Hit the provided curl and observe response. There is no image attached in the prescription api.  Expected result: Upload should throw some 4xx error saying image is missing.  Actual result: Upload goes through and url is also returned without any file name. On checking the 1mg s3 bucket, we see  a blank entry created against index 0. Screenshot attached.",Transient Bug
BE-19645,Seeing 500 ise in prescription image upload api.,sai archana,sai archana,Accepted,2025-04-08T15:10:32.713+0530,2025-04-08T16:17:25.741+0530,Supernovas,Problem: Seeing 500 ise in prescription image upload api.  Steps to reproduce:  # Hi the provided curl. Try with an image which doesn”t exist in the local. Observe the response. # Remove existing image and attach a correct image from the local and re-hit.  Expected result: Correct image should get uploaded.  Actual result: Seeing 500 ise and error in logs. Please find them attached.,Transient Bug
BE-19644,Seeing pd entry getting created when existing ean code is passed.,sai archana,sai archana,Accepted,2025-04-08T15:06:48.382+0530,2025-04-08T16:17:57.180+0530,Supernovas,"Problem: Seeing pd entry getting created when existing ean code is passed. Steps to reproduce:  # Hit the provided curl and check if pd entry is created. With the ean provided, we already have a pd entry. # Check if the upload goes through.  Expected: Upload should not go through  Actual: Upload goes through and entry is created in pd table. No ean mapping , data sections etc are created though.",Transient Bug
BE-19643,After slot is over then approved and rejected gigs not showing in history screen,Rahul Kumar Singh,Rahul Kumar Singh,Accepted,2025-04-08T13:45:12.521+0530,2025-04-14T19:13:03.219+0530,Falcons,"After slot is over then approved and rejected gigs not showing in history screen but it should full day data.  {noformat}{     """"gig_size"""": 0,     """"gigs"""": [] }{noformat}",Transient Bug
BE-19642,[Realtime Earning] Getting distance value as 'meters' in event from HubOps but in payout report it is being send as 'Kilometer',vikas.yadav,vikas.yadav,Accepted,2025-04-08T13:44:48.193+0530,2025-04-08T19:30:07.710+0530,Falcons,"→ from hubOps, we are getting ‘distance_from_previous_location’ in meters from event but in payout report, the distance is being send as ‘kilometer’.   → expected : we should get distance in ‘KM’ from HubOps event.",Transient Bug
BE-19640,Payment amount is 1300/- but acutally it should be 106/-,Ashwath Kumar,Ashwath Kumar,Accepted,2025-04-08T13:24:13.272+0530,2025-04-21T16:58:09.448+0530,Avengers,"In get-qr-upi,   {noformat}URL: https://qas31.bigbasket.com/hubops/dapi/v6/get-qr-upi Method: POST Protocol: h2 Status: Complete Response: 200 SSL: Yes Request time: Tue Apr 08 13:19:58 GMT+05:30 2025 Response time: Tue Apr 08 13:19:58 GMT+05:30 2025 Duration: 361 ms Request size: 23 B Response size: 195 B Total size: 218 B ---------- Request ---------- X-Tracker: 2fd9f104-4258-4721-9963-faf651494b83 X-Uid: 716628 deviceId: 597030e7b632664f deviceInfo: Brand:OnePlus,Model:HD1901,SDK:31,Manufacture:OnePlus,Version Code:12 x-project: cee-ledger Authorization: Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjZWVfaWQiOjcxNjYyOCwiZGV2aWNlX2lkIjoiNTk3MDMwZTdiNjMyNjY0ZiIsImlhdCI6MTc0NDA5NzQ2OCwiZXhwIjoxNzQ0MTAxMDY4fQ.Pa5GyJpgJyXCMpK6Wam5EAi9lGFhl2UWMVVK4WvVa-U X-Refresh-Token: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJyZWZyZXNoX3Rva2VuIjoiVXNhc0lRN0tzS2JLQ2xWVnlDTXk1aWlRSmJJQlF3WkdJUUlwaTNVTjRZR1M2ZVFiREdXNlRNRFYzYU5iYTZPM0RPc0xSZ2daRXdZTFJTSklSa2N1ODJKNEFXTXZDd1ZTb0NFZFo0TE1tT05URkJoYmYyeloyTDBtRHViZ1FYazVrZVV5TWhqYVVoVnMzejZQaDlxdWJ2UFV4dkdENmlkWVRJYXVNQ25lTTEySWpjMThsXzU4bzlhUjFTdFVWWHhFdWg2SFBSdTd3ZzBaRVVUQ0cxbE5yVUptaXJENXotWURKcFJzZThKZUtfelJ6WGRna1VzeEJLSE5NbDlkcG1hd3BLMFRGYzVkUVZFQVJaUGg1Ym9Xd3E2c0l3VjBRcWNwU3laa3dqTjBndjJVWlI5bTliV1V4dHlvbEZXSFR2ZUlaaFh2TFJKaHZnUzZKY3VnZl9JTTF3IiwiaWF0IjoxNzQ0MDk3NDY4LCJleHAiOjE3NDQxODc0Njh9.CjKOwLUNn-85tI2jMX8WZNpL5begWpJj1PGPsjAY05Q Cookie: BBADMINAUTHTOKEN=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6Iko2VFpRS3NiVllFdEt3IiwidGltZSI6IjE3NDQwOTc0NjgiLCJ1aWQiOjMyMjI1OTg1MCwiZXhwaXJ5IjoiMTc0NDEwMTA2OCJ9.HWNFcLlvkHtLdRBY2XaIXqka-tQkCT2LEcWpSJUQmw8 X-Tenant-Id: 1 {   """"order_id"""": 1614716461 } ---------- Response ---------- date: Tue, 08 Apr 2025 07:49:58 GMT content-type: text/plain; charset=utf-8 content-length: 195 content-security-policy: default-src 'self'; script-src 'self'; style-src 'self' referrer-policy: no-referrer server: nginx/1.15.8 strict-transport-security: max-age=31536000; includeSubDomains x-content-type-options: nosniff x-frame-options: DENY x-xss-protection: 1; mode=block {""""payment_txn_id"""":""""db5309d7117cce70a169"""",""""URI"""":""""upi://pay?tr=403993715533694657&pa=kk.payutest@hdfcbank&pn=bigbasket&am=106.00&cu=INR"""",""""expiry_time"""":270,""""txn_creation_time"""":""""2025-04-08 13:19:29""""}{noformat}  !image-20250408-075338.png|width=1080,height=2400,alt=""""image-20250408-075338.png""""!",Transient Bug
BE-19637,Order placement is failing in qa with 500 error.,Kavyashree Chiniwalar,Kavyashree Chiniwalar,Accepted,2025-04-08T12:31:22.168+0530,2025-04-14T11:38:54.298+0530,Django UnChainers,tracker: sync-280670-19984-ugfd-idcj,Transient Bug
BE-19635,Call 740109 - S3 BB : UNABLE TO LOG OFF FROM THE WEBSITE,Ravi Talakeri,Rehan Ansari,Cannot Reproduce,2025-04-08T12:30:52.085+0530,2025-04-08T21:03:16.105+0530,Avengers,"# MyMCS                       : 740109  # Issue Reported Date   : 08-APR-25          # Location                      : Gurgaon  # Issue Reported by and Dep : CS B2C  # Issue severity              : S3  # Issue type                  :  Complaint  # Location Impacted      : Gurgaon  # Issue Reported           :  UNABLE TO LOG OFF FROM THE WEBSITE    # L1 Analysis                 :     The customer, using a Dell laptop and Google Chrome, reported being unable to log off from the website despite having used the same laptop and website for the past five years. They confirmed that they had already attempted clearing the cache and cookies.    Request you to refer to the snapshot below, and update us at the earliest.    {adf:display=block} {""""type"""":""""table"""",""""attrs"""":{""""isNumberColumnEnabled"""":false,""""layout"""":""""default"""",""""localId"""":""""36ffdc7d-a9da-46c4-a746-1d558bff8a93""""},""""content"""":[{""""type"""":""""tableRow"""",""""content"""":[{""""type"""":""""tableCell"""",""""attrs"""":{""""colspan"""":2,""""background"""":""""#c6e0b4""""},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""Customer details""""}]}]}]},{""""type"""":""""tableRow"""",""""content"""":[{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""Name"""",""""marks"""":[{""""type"""":""""strong""""}]}]}]},{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""anindita wadhwa""""}]}]}]},{""""type"""":""""tableRow"""",""""content"""":[{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""Member ID"""",""""marks"""":[{""""type"""":""""strong""""}]}]}]},{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""19016499""""}]}]}]},{""""type"""":""""tableRow"""",""""content"""":[{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""City"""",""""marks"""":[{""""type"""":""""strong""""}]}]}]},{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""Gurgaon""""}]}]}]},{""""type"""":""""tableRow"""",""""content"""":[{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""Hub"""",""""marks"""":[{""""type"""":""""strong""""}]}]}]},{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""T1EX GUR Sec85""""}]}]}]},{""""type"""":""""tableRow"""",""""content"""":[{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""Email id"""",""""marks"""":[{""""type"""":""""strong""""}]}]}]},{""""type"""":""""tableCell"""",""""attrs"""":{},""""content"""":[{""""type"""":""""paragraph"""",""""content"""":[{""""type"""":""""text"""",""""text"""":""""drnavneetwadhwa@gmail.com"""",""""marks"""":[{""""type"""":""""link"""",""""attrs"""":{""""href"""":""""mailto:drnavneetwadhwa@gmail.com""""}}]},{""""type"""":""""text"""",""""text"""":"""" """"}]}]}]}]} {adf}",Bug
BE-19612,The Crate segregation flow in the IQ app is encountering a 'Service Unavailable' error.,venkata.narasaiah,venkata.narasaiah,Accepted,2025-04-08T12:02:31.063+0530,2025-04-10T19:13:02.541+0530,Falcons,"We are currently conducting V2 and V3 migration testing in the IQ app. In the IQ app flow, the """"Create Segregation"""" step is returning a service error when using the header {{X-Project: picker}}.  We need to perform the testing specifically with {{X-Project: picker}}. Could you please help us with this  URL: [https://qas12.bigbasket.com/segregation/admin/filter|https://qas12.bigbasket.com/segregation/admin/filter] Method: GET Protocol: h2 Status: Complete Response: 404 SSL: YesRequest time: Tue Apr 08 11:49:37 GMT+05:30 2025 Response time: Tue Apr 08 11:49:37 GMT+05:30 2025 Duration: 332 msRequest size: 0 B Response size: 19 B Total size: 19 B---------- Request ----------X-Caller: IQ-APP X-TimeStamp: 2025-04-08T11:49:37.311Z X-ACCESSTOKEN: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6ImktS19SVDZfa1RvOHhBIiwidGltZSI6IjE3NDQwOTMxMDAiLCJ1aWQiOjMyMjI1OTg2N30.lqQvUigJ4io62dFNNvWZj46V2ldbvn5W1VOD3Uqr5XU X-Tracker: 9741e4fa-1945-4f93-b5d9-a163d665c38f X-Device: 3.1.17.QA5_44c8696e56945b00 X-Request-Identifier: 44c8696e56945b00_322259867_2025-04-08T11:49:37.311Z Cookie: 1.BBADMINAUTHTOKEN=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjaGFmZiI6ImktS19SVDZfa1RvOHhBIiwidGltZSI6IjE3NDQwOTMxMDAiLCJ1aWQiOjMyMjI1OTg2N30.lqQvUigJ4io62dFNNvWZj46V2ldbvn5W1VOD3Uqr5XU X-Tenant-Id: 1 X-Project: picker(body is empty)---------- Response ----------date: Tue, 08 Apr 2025 06:19:35 GMT content-type: text/plain; charset=utf-8 content-length: 19 server: nginx content-security-policy: x-content-type-options: nosniff set-cookie: csurftoken=oO0uGQ.1744093175059.yN/TTuD/LXrvGmOHOBcwI54LRK+eGDGnZkAi02pYOVA=; Max-Age=1800; Expires=Tue, 08 Apr 2025 06:49:35 GMT; Path=/; Domain=.[bigbasket.com|http://bigbasket.com/]; Secure set-cookie: tenant-id=1; Max-Age=31536000; Expires=Wed, 08 Apr 2026 06:19:35 GMT; Path=/; Domain=.[bigbasket.com|http://bigbasket.com/]; Secure404 page not found",Transient Bug
BE-19611,RDE flow is failing while RDE submission,Ashwath Kumar,Ashwath Kumar,Accepted,2025-04-08T11:59:26.920+0530,2025-04-21T16:58:12.495+0530,Falcons,"Delivery exception flow  !image-20250408-062841.png|width=1925,height=975,alt=""""image-20250408-062841.png""""!",Transient Bug
BE-19610,Upload cee for SA where ledger is enabled failing to onboard CEE,Ashwath Kumar,Ashwath Kumar,Accepted,2025-04-08T11:51:46.573+0530,2025-04-21T17:00:38.315+0530,Falcons,"Login to admin, navigate to CEE  do Cee upload & cee upload is successful  but cee is not ledger onboarded automatically  cee_id = 716638; # Nelamangala CEE for onboarding ledger",Transient Bug
